Vegetable,Records,Min (NPR/Kg),Max (NPR/Kg),Mean Avg (NPR/Kg),Median Avg (NPR/Kg),Std Dev (NPR/Kg),First_Date,Last_Date
Tamarind,3468,70.0,160.0,121.78,135.0,24.65,2013-07-02,2023-09-28
Cauli Local,3369,15.0,110.0,49.32,45.0,21.9,2013-06-16,2023-09-27
Chilli Dry,3364,180.0,480.0,284.19,275.0,78.29,2013-09-02,2023-08-07
Capsicum,3355,35.0,150.0,76.67,75.0,25.44,2013-06-16,2023-09-28
Ginger,3336,40.0,220.0,92.47,75.0,42.0,2013-06-16,2023-09-28
Garlic Dry Chinese,3331,100.0,350.0,193.8,175.0,62.87,2013-06-16,2023-09-28
Carrot(Local),3329,20.0,150.0,67.14,62.5,31.31,2013-06-16,2023-09-28
Tofu,3322,50.0,130.0,85.72,85.0,15.95,2013-07-16,2023-09-28
Raddish White(Local),3318,10.0,60.0,25.71,22.5,10.68,2013-06-16,2023-09-27
Pumpkin,3316,18.0,50.0,31.83,32.5,7.66,2013-06-16,2023-09-27
Bamboo Shoot,3305,60.0,140.0,100.66,96.67,21.37,2013-06-28,2023-09-28
Bottle Gourd,3294,15.0,70.0,42.12,42.5,10.2,2013-06-18,2023-09-28
Chilli Green,3293,30.0,130.0,63.91,57.5,19.04,2013-06-18,2023-09-28
Lime,3291,1.0,600.0,294.07,270.0,141.31,2013-06-16,2023-09-28
Water Melon(Green),3285,1.0,100.0,48.89,47.5,14.14,2013-06-30,2023-09-28
Mushroom(Kanya),3275,18.0,250.0,156.5,155.0,34.14,2013-06-16,2023-09-28
Cucumber(Local),3264,20.0,120.0,59.03,55.0,21.39,2013-06-16,2023-09-28
Brd Leaf Mustard,3264,1.0,120.0,52.27,47.5,20.27,2013-06-16,2023-09-28
Cabbage(Local),3257,8.0,60.0,27.76,26.0,12.09,2013-06-19,2023-09-28
Onion Green,3255,6.0,350.0,76.2,65.0,34.5,2013-06-16,2023-09-28
Potato Red,3253,18.0,70.0,36.58,34.0,11.75,2013-06-16,2023-09-28
Brinjal Long,3251,18.0,70.0,38.4,37.5,11.06,2013-06-18,2023-09-28
Pomegranate,3250,120.0,400.0,235.81,235.0,59.87,2013-06-16,2023-09-19
Coriander Green,3249,30.0,400.0,118.85,95.0,71.85,2013-06-16,2023-09-28
Onion Dry (Indian),3247,22.0,115.0,44.05,38.5,19.31,2013-06-16,2023-09-28
Tomato Small(Local),3246,12.0,78.0,36.47,32.5,14.25,2013-06-16,2023-09-28
Garlic Green,3242,40.0,250.0,100.83,95.0,42.5,2013-06-16,2023-09-27
French Bean(Local),3240,25.0,110.0,60.77,57.5,19.24,2013-06-17,2023-09-28
Sugarbeet,3232,50.0,100.0,71.59,75.0,11.16,2013-07-03,2023-09-28
Okara,3219,25.0,130.0,70.8,67.5,26.52,2013-06-19,2023-09-28
Turnip A,3207,30.0,100.0,60.66,57.5,15.98,2013-06-16,2023-09-28
Bitter Gourd,3199,20.0,140.0,65.92,65.0,28.83,2013-06-19,2023-09-28
Sweet Orange,3154,70.0,200.0,122.28,115.0,31.82,2013-06-16,2023-09-28
Lettuce,3137,35.0,200.0,72.48,62.5,30.74,2013-06-16,2023-09-28
Mustard Leaf,3125,25.0,80.0,47.27,45.0,10.27,2013-06-16,2023-09-25
Spinach Leaf,3116,30.0,150.0,65.75,57.5,23.47,2013-06-16,2023-07-14
Garlic Dry Nepali,3079,70.0,310.0,150.47,135.0,55.14,2013-07-09,2023-09-28
Gundruk,3043,150.0,300.0,222.67,205.0,39.86,2013-06-16,2023-09-28
Mint,3039,70.0,600.0,167.95,135.0,95.04,2013-06-16,2023-09-28
Tomato Big(Nepali),2990,25.0,100.0,50.81,47.5,16.34,2013-06-16,2023-09-21
Cress Leaf,2984,30.0,150.0,67.54,62.5,25.91,2013-06-16,2023-06-25
Celery,2971,80.0,400.0,153.09,125.0,68.55,2013-06-16,2023-09-28
Potato White,2798,14.0,50.0,28.54,27.5,8.58,2013-06-16,2023-09-28
Parseley,2786,90.0,500.0,175.83,145.0,96.91,2013-06-16,2023-09-08
Christophine,2755,8.0,60.0,31.02,30.0,13.33,2013-06-16,2023-09-28
Cow pea(Long),2731,25.0,120.0,64.51,57.5,22.77,2013-06-20,2023-09-28
Apple(Jholey),2725,90.0,250.0,126.68,110.0,35.49,2013-06-16,2023-04-30
Pointed Gourd(Local),2724,30.0,120.0,59.2,55.0,20.45,2013-06-16,2023-09-28
Fenugreek Leaf,2638,25.0,130.0,63.98,57.5,21.56,2013-06-16,2023-06-25
Fennel Leaf,2635,35.0,130.0,66.86,62.5,20.99,2013-06-16,2023-06-25
Squash(Long),2585,10.0,60.0,32.75,32.5,10.4,2013-06-16,2023-07-23
Brinjal Round,2565,25.0,70.0,41.84,37.5,10.94,2013-06-17,2023-09-28
Papaya(Nepali),2479,50.0,100.0,66.62,65.0,10.09,2013-06-16,2023-09-04
Brocauli,2476,30.0,250.0,75.95,62.5,39.54,2013-06-16,2023-09-26
Arum,2449,28.0,60.0,44.55,45.0,7.43,2013-06-26,2023-08-16
Clive Dry,2278,70.0,350.0,171.94,156.67,73.39,2013-06-16,2023-09-28
Smooth Gourd,2235,20.0,100.0,50.13,47.5,19.64,2013-06-16,2023-09-28
Red Cabbbage,2170,40.0,250.0,92.36,76.67,40.85,2013-06-16,2023-09-18
Mombin,2039,20.0,140.0,48.75,42.5,22.64,2013-08-02,2023-09-28
Jack Fruit,2004,15.0,150.0,54.25,48.33,22.58,2013-06-16,2023-09-22
Green Peas,1992,30.0,180.0,76.05,65.0,30.3,2013-06-16,2023-06-18
Fish Fresh,1948,200.0,300.0,233.7,232.5,14.16,2013-06-16,2020-10-20
Sword Bean,1863,30.0,150.0,71.4,65.0,28.9,2013-09-23,2023-09-28
Knolkhol,1818,30.0,90.0,52.55,47.5,15.7,2013-12-16,2023-06-14
Neuro,1814,50.0,120.0,77.91,75.0,18.13,2013-06-16,2023-09-28
Clive Green,1754,45.0,210.0,98.52,95.0,41.46,2013-06-16,2023-09-23
Asparagus,1754,0.0,1000.0,358.15,325.0,210.18,2013-06-16,2023-09-28
Pear(Local),1735,25.0,200.0,95.88,95.0,49.21,2014-03-31,2023-09-28
Barela,1699,1.0,90.0,46.84,45.0,15.18,2013-08-12,2023-05-07
Grapes(Green),1635,90.0,300.0,159.17,145.0,55.46,2013-06-16,2023-06-12
Orange(Nepali),1626,45.0,150.0,87.13,85.0,21.38,2013-09-24,2023-04-23
Snake Gourd,1564,15.0,60.0,35.05,35.0,9.56,2013-06-16,2023-09-28
Raddish White(Hybrid),1479,10.0,70.0,33.09,32.5,13.82,2019-06-04,2023-09-28
Papaya(Indian),1451,70.0,130.0,94.95,95.0,12.33,2019-06-04,2023-09-28
Soyabean Green,1442,40.0,140.0,74.44,67.5,21.51,2013-06-16,2023-09-28
Fish Fresh(Bachuwa),1406,200.0,330.0,238.88,230.0,20.37,2019-05-31,2023-09-17
Fish Fresh(Chhadi),1401,200.0,300.0,230.66,227.5,19.34,2019-05-31,2023-09-28
French Bean(Hybrid),1399,30.0,120.0,74.1,75.0,22.84,2019-06-04,2023-09-28
Mushroom(Button),1397,250.0,500.0,342.72,325.0,54.8,2019-05-31,2023-09-28
Squash(Round),1374,20.0,70.0,41.86,42.5,12.37,2019-06-04,2023-09-28
Bakula,1374,30.0,120.0,69.87,65.0,22.0,2013-09-29,2023-05-07
Cucumber(Hybrid),1372,10.0,70.0,37.03,35.0,13.11,2019-05-31,2023-09-28
Raddish Red,1366,20.0,80.0,40.17,36.67,12.24,2013-06-16,2023-09-26
Fish Fresh(Mungari),1356,220.0,330.0,257.89,252.5,23.43,2019-05-31,2023-09-28
Fish Fresh(Rahu),1356,250.0,385.0,301.27,292.5,26.04,2019-06-16,2023-09-05
Yam,1283,24.0,80.0,47.16,47.5,13.82,2013-10-27,2023-04-17
Chilli Green(Bullet),1272,40.0,150.0,78.27,75.0,22.79,2019-05-31,2023-09-28
Potato Red(Indian),1268,22.0,62.0,34.0,32.5,8.69,2019-05-31,2023-09-28
Tomato Small(Tunnel),1258,12.0,92.0,43.13,40.2,17.5,2019-05-31,2023-09-28
Chilli Green(Akbare),1179,100.0,400.0,228.19,225.0,71.47,2019-05-31,2023-09-28
Chilli Green(Machhe),1164,30.0,120.0,72.85,75.0,18.32,2019-05-31,2023-09-28
Tomato Big(Indian),1159,40.0,110.0,63.07,57.5,15.51,2019-06-25,2023-09-28
Apple(Fuji),1153,180.0,350.0,278.86,275.0,23.09,2019-05-31,2023-09-28
Sponge Gourd,1129,25.0,80.0,45.92,45.0,11.58,2013-06-16,2023-09-27
Sweet Potato,1091,30.0,90.0,59.37,62.5,13.13,2013-11-01,2023-06-23
Mango(Maldah),1087,45.0,200.0,100.66,95.0,32.75,2013-06-16,2023-08-09
Pear(Chinese),1040,140.0,350.0,237.46,235.0,46.78,2019-08-06,2023-09-28
Lemon,917,30.0,70.0,45.15,45.0,10.36,2013-09-09,2023-09-28
Cauli Terai,910,10.0,65.0,25.6,22.5,10.61,2013-12-18,2023-03-25
Turnip,880,28.0,90.0,60.56,57.5,14.81,2013-06-16,2023-09-17
Kiwi,866,150.0,800.0,410.29,425.0,153.98,2020-10-21,2023-09-28
Cowpea(Short),865,40.0,110.0,69.16,66.67,16.34,2019-06-04,2023-09-28
Guava,864,25.0,200.0,87.68,95.0,41.34,2013-07-25,2023-09-28
Cauli Local(Jyapu),799,25.0,100.0,55.1,55.0,19.24,2019-12-17,2023-09-07
Pointed Gourd(Terai),783,35.0,160.0,76.25,75.0,26.02,2019-12-27,2023-09-28
Drumstick,767,50.0,300.0,150.65,150.0,61.11,2013-10-12,2023-09-18
French Bean(Rajma),748,60.0,150.0,98.88,95.0,19.57,2019-06-04,2023-09-04
Tomato Small(Indian),726,15.0,80.0,39.1,37.5,14.08,2019-08-08,2023-09-28
Carrot(Terai),713,15.0,120.0,53.51,45.0,29.2,2019-11-19,2023-09-28
Avocado,657,200.0,600.0,396.91,450.0,115.96,2021-10-29,2023-09-28
Orange(Indian),657,70.0,200.0,122.27,125.0,31.38,2019-10-28,2023-09-28
Potato Red(Mude),633,33.0,80.0,47.18,46.5,8.68,2019-06-24,2023-09-28
Mandarin,629,60.0,350.0,232.17,235.0,60.8,2013-11-04,2023-09-28
Grapes(Black),611,180.0,550.0,303.06,290.0,94.83,2020-01-31,2023-09-28
Tomato Small(Terai),600,15.0,70.0,36.08,34.0,12.84,2019-12-06,2023-05-28
Kinnow,553,45.0,160.0,95.07,85.0,34.78,2014-01-07,2023-05-08
Strawberry,522,190.0,700.0,437.99,450.0,127.75,2014-01-29,2023-05-14
Cabbage,464,10.0,50.0,25.4,22.5,9.5,2019-06-05,2023-03-25
Cabbage(Terai),436,10.0,50.0,24.94,22.5,9.96,2019-12-09,2023-07-15
Amla,418,50.0,130.0,83.36,80.84,17.99,2021-10-29,2023-09-28
Bauhania flower,366,50.0,350.0,137.56,115.0,68.12,2014-02-28,2023-05-05
Litchi(Local),323,60.0,200.0,116.07,110.0,32.01,2014-05-27,2023-07-13
Mango(Dushari),318,70.0,250.0,138.13,126.67,52.6,2019-06-04,2023-08-27
Sarifa,163,100.0,300.0,202.74,175.0,49.6,2021-10-29,2023-09-28
Mango(Calcutte),139,70.0,250.0,132.52,130.0,43.79,2021-04-19,2023-07-24
Litchi(Indian),134,120.0,300.0,211.78,225.0,53.59,2019-06-04,2023-07-10
Mango(Chousa),115,70.0,300.0,148.68,135.0,57.46,2021-05-08,2023-08-28
Onion Dry (Chinese),101,50.0,150.0,85.24,72.5,28.02,2019-12-09,2023-09-22
Tree Tomato,100,70.0,160.0,100.87,96.67,21.3,2022-12-01,2023-03-29
Water Melon(Dotted),49,25.0,50.0,33.19,32.5,6.09,2019-06-04,2023-05-16
Sweet Lime,20,40.0,180.0,90.12,85.0,39.77,2013-06-30,2022-10-26
Musk Melon,8,18.0,70.0,38.75,31.25,19.74,2014-12-09,2020-11-21
