Vegetable,YearMonth,Avg_Price_NPR_Kg
Bamboo Shoot,2013-06,65.0
Bamboo Shoot,2013-07,65.0
Bamboo Shoot,2013-08,67.25
Bamboo Shoot,2013-09,66.3
Bamboo Shoot,2013-10,65.0
Bamboo Shoot,2013-11,81.82
Bamboo Shoot,2013-12,123.41
Bamboo Shoot,2014-01,135.0
Bamboo Shoot,2014-05,135.0
Bamboo Shoot,2014-06,130.8
Bamboo Shoot,2014-07,134.52
Bamboo Shoot,2014-08,104.33
Bamboo Shoot,2014-09,65.37
Bamboo Shoot,2014-10,68.1
Bamboo Shoot,2014-11,75.0
Bamboo Shoot,2014-12,75.18
Bamboo Shoot,2015-01,74.35
Bamboo Shoot,2015-02,65.0
Bamboo Shoot,2015-03,65.7
Bamboo Shoot,2015-04,66.05
Bamboo Shoot,2015-05,65.62
Bamboo Shoot,2015-07,65.56
Bamboo Shoot,2015-08,65.0
Bamboo Shoot,2015-09,65.0
Bamboo Shoot,2015-10,65.0
Bamboo Shoot,2015-11,75.0
Bamboo Shoot,2015-12,75.16
Bamboo Shoot,2016-01,74.92
Bamboo Shoot,2016-02,75.6
Bamboo Shoot,2016-03,77.12
Bamboo Shoot,2016-04,130.56
Bamboo Shoot,2016-05,135.0
Bamboo Shoot,2016-06,135.0
Bamboo Shoot,2016-07,131.13
Bamboo Shoot,2016-08,124.19
Bamboo Shoot,2016-09,125.0
Bamboo Shoot,2016-10,125.0
Bamboo Shoot,2016-11,125.0
Bamboo Shoot,2016-12,125.0
Bamboo Shoot,2017-01,125.0
Bamboo Shoot,2017-02,125.0
Bamboo Shoot,2017-03,123.62
Bamboo Shoot,2017-04,124.33
Bamboo Shoot,2017-05,125.0
Bamboo Shoot,2017-06,125.0
Bamboo Shoot,2017-07,123.71
Bamboo Shoot,2017-08,125.0
Bamboo Shoot,2017-09,125.0
Bamboo Shoot,2017-10,125.0
Bamboo Shoot,2017-11,125.67
Bamboo Shoot,2017-12,125.0
Bamboo Shoot,2018-01,121.58
Bamboo Shoot,2018-02,75.09
Bamboo Shoot,2018-03,75.33
Bamboo Shoot,2018-04,75.0
Bamboo Shoot,2018-05,75.0
Bamboo Shoot,2018-06,87.0
Bamboo Shoot,2018-07,93.06
Bamboo Shoot,2018-08,75.0
Bamboo Shoot,2018-09,75.0
Bamboo Shoot,2018-10,75.0
Bamboo Shoot,2018-11,75.69
Bamboo Shoot,2018-12,100.48
Bamboo Shoot,2019-01,106.94
Bamboo Shoot,2019-02,114.29
Bamboo Shoot,2019-03,115.0
Bamboo Shoot,2019-04,115.0
Bamboo Shoot,2019-05,115.0
Bamboo Shoot,2019-06,115.0
Bamboo Shoot,2019-07,114.35
Bamboo Shoot,2019-08,115.0
Bamboo Shoot,2019-09,115.67
Bamboo Shoot,2019-10,115.0
Bamboo Shoot,2019-11,115.67
Bamboo Shoot,2019-12,114.68
Bamboo Shoot,2020-01,115.0
Bamboo Shoot,2020-02,115.0
Bamboo Shoot,2020-03,114.46
Bamboo Shoot,2020-04,115.0
Bamboo Shoot,2020-05,115.16
Bamboo Shoot,2020-06,114.67
Bamboo Shoot,2020-07,114.33
Bamboo Shoot,2020-08,103.39
Bamboo Shoot,2020-09,95.0
Bamboo Shoot,2020-10,92.93
Bamboo Shoot,2020-11,85.0
Bamboo Shoot,2020-12,82.1
Bamboo Shoot,2021-01,77.26
Bamboo Shoot,2021-02,75.0
Bamboo Shoot,2021-03,75.0
Bamboo Shoot,2021-04,93.0
Bamboo Shoot,2021-05,95.0
Bamboo Shoot,2021-06,95.0
Bamboo Shoot,2021-07,95.0
Bamboo Shoot,2021-08,95.0
Bamboo Shoot,2021-09,95.0
Bamboo Shoot,2021-10,88.87
Bamboo Shoot,2021-11,88.33
Bamboo Shoot,2021-12,89.52
Bamboo Shoot,2022-01,94.35
Bamboo Shoot,2022-02,95.0
Bamboo Shoot,2022-03,95.0
Bamboo Shoot,2022-04,95.22
Bamboo Shoot,2022-05,111.39
Bamboo Shoot,2022-06,119.31
Bamboo Shoot,2022-07,122.42
Bamboo Shoot,2022-08,124.19
Bamboo Shoot,2022-09,117.11
Bamboo Shoot,2022-10,103.87
Bamboo Shoot,2022-11,104.5
Bamboo Shoot,2022-12,96.06
Bamboo Shoot,2023-01,96.36
Bamboo Shoot,2023-02,96.35
Bamboo Shoot,2023-03,96.04
Bamboo Shoot,2023-04,95.06
Bamboo Shoot,2023-05,96.35
Bamboo Shoot,2023-06,98.06
Bamboo Shoot,2023-07,117.95
Bamboo Shoot,2023-08,97.97
Bamboo Shoot,2023-09,96.19
Bottle Gourd,2013-06,28.21
Bottle Gourd,2013-07,31.82
Bottle Gourd,2013-08,31.82
Bottle Gourd,2013-09,31.86
Bottle Gourd,2013-10,33.7
Bottle Gourd,2013-11,42.74
Bottle Gourd,2013-12,40.25
Bottle Gourd,2014-01,37.08
Bottle Gourd,2014-02,38.98
Bottle Gourd,2014-03,37.32
Bottle Gourd,2014-04,30.05
Bottle Gourd,2014-05,33.0
Bottle Gourd,2014-06,30.42
Bottle Gourd,2014-07,30.55
Bottle Gourd,2014-08,24.88
Bottle Gourd,2014-09,31.29
Bottle Gourd,2014-10,29.5
Bottle Gourd,2014-11,35.14
Bottle Gourd,2014-12,32.3
Bottle Gourd,2015-01,42.5
Bottle Gourd,2015-02,40.44
Bottle Gourd,2015-03,37.67
Bottle Gourd,2015-04,33.66
Bottle Gourd,2015-05,27.5
Bottle Gourd,2015-06,30.02
Bottle Gourd,2015-07,35.66
Bottle Gourd,2015-08,33.71
Bottle Gourd,2015-09,30.88
Bottle Gourd,2015-10,38.56
Bottle Gourd,2015-11,37.74
Bottle Gourd,2015-12,39.92
Bottle Gourd,2016-01,41.29
Bottle Gourd,2016-02,36.72
Bottle Gourd,2016-03,39.14
Bottle Gourd,2016-04,46.3
Bottle Gourd,2016-05,48.23
Bottle Gourd,2016-06,36.97
Bottle Gourd,2016-07,42.5
Bottle Gourd,2016-08,36.96
Bottle Gourd,2016-09,34.33
Bottle Gourd,2016-10,35.37
Bottle Gourd,2016-11,39.13
Bottle Gourd,2016-12,37.02
Bottle Gourd,2017-01,34.68
Bottle Gourd,2017-02,35.74
Bottle Gourd,2017-03,39.33
Bottle Gourd,2017-04,39.93
Bottle Gourd,2017-05,31.67
Bottle Gourd,2017-06,34.17
Bottle Gourd,2017-07,38.39
Bottle Gourd,2017-08,42.66
Bottle Gourd,2017-09,37.59
Bottle Gourd,2017-10,43.19
Bottle Gourd,2017-11,42.1
Bottle Gourd,2017-12,37.71
Bottle Gourd,2018-01,46.33
Bottle Gourd,2018-02,46.02
Bottle Gourd,2018-03,42.58
Bottle Gourd,2018-04,37.5
Bottle Gourd,2018-05,36.18
Bottle Gourd,2018-06,43.0
Bottle Gourd,2018-07,49.76
Bottle Gourd,2018-08,52.55
Bottle Gourd,2018-09,44.42
Bottle Gourd,2018-10,32.66
Bottle Gourd,2018-11,34.17
Bottle Gourd,2018-12,43.92
Bottle Gourd,2019-01,51.94
Bottle Gourd,2019-02,46.57
Bottle Gourd,2019-03,49.87
Bottle Gourd,2019-04,48.0
Bottle Gourd,2019-05,44.11
Bottle Gourd,2019-06,49.42
Bottle Gourd,2019-07,54.81
